"","cohort","M01","M02","M03","M04","M05","M06","M07","M08","M09","M10","M11","M12"
"1","Cohort01",11000,1900,1400,1100,1000,900,850,850,800,800,750,740
"2","Cohort02",0,10000,2000,1300,1100,900,900,850,800,780,750,700
"3","Cohort03",0,0,11500,2400,1400,1200,1100,1000,950,900,900,870
"4","Cohort04",0,0,0,13200,2400,1600,1300,1200,1100,1050,1000,1000
"5","Cohort05",0,0,0,0,11100,1900,1300,1100,1100,1050,1000,900
"6","Cohort06",0,0,0,0,0,10300,1900,1300,1250,1200,1180,1100
"7","Cohort07",0,0,0,0,0,0,13000,1900,1000,900,800,700
"8","Cohort08",0,0,0,0,0,0,0,11500,1200,1200,1100,1050
"9","Cohort09",0,0,0,0,0,0,0,0,11000,1900,1150,1025
"10","Cohort10",0,0,0,0,0,0,0,0,0,13200,2000,1300
"11","Cohort11",0,0,0,0,0,0,0,0,0,0,11300,1800
"12","Cohort12",0,0,0,0,0,0,0,0,0,0,0,20000
